,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
113,tamil-nadu,2022,1,Financial Services,241201,298216135.377552
114,tamil-nadu,2022,1,Others,579955,355987089.8306444
115,tamil-nadu,2022,2,Merchant payments,179245529,100813133534.0309
116,tamil-nadu,2022,2,Peer-to-peer payments,136341691,464333108374.5711
117,tamil-nadu,2022,2,Recharge & bill payments,38257271,24477663683.793488
118,tamil-nadu,2022,2,Financial Services,202498,233054908.96978933
119,tamil-nadu,2022,2,Others,459948,277767177.03123105
120,tamil-nadu,2022,3,Merchant payments,202149276,109801011246.16069
121,tamil-nadu,2022,3,Peer-to-peer payments,148805657,493880482824.984
122,tamil-nadu,2022,3,Recharge & bill payments,41919063,27694221703.16715
123,tamil-nadu,2022,3,Financial Services,217741,238069828.1652185
124,tamil-nadu,2022,3,Others,404438,265434770.79138052
125,tamil-nadu,2022,4,Merchant payments,229308285,118847998736.56468
126,tamil-nadu,2022,4,Peer-to-peer payments,162920305,526511418812.7734
127,tamil-nadu,2022,4,Recharge & bill payments,43391904,29719449171.386997
128,tamil-nadu,2022,4,Financial Services,295740,334812023.56560165
129,tamil-nadu,2022,4,Others,400402,275988847.1474179
130,tamil-nadu,2023,1,Merchant payments,248540772,124250251559.0
131,tamil-nadu,2023,1,Peer-to-peer payments,169269032,554678365256.0
132,tamil-nadu,2023,1,Recharge & bill payments,42745926,36069237413.0
133,tamil-nadu,2023,1,Financial Services,281287,303893116.0
134,tamil-nadu,2023,1,Others,375370,281926174.0
135,tamil-nadu,2023,2,Merchant payments,270279446,132952561597.0
136,tamil-nadu,2023,2,Peer-to-peer payments,181169979,603065358975.0
137,tamil-nadu,2023,2,Recharge & bill payments,46387359,39784453434.0
138,tamil-nadu,2023,2,Financial Services,273888,317118374.0
139,tamil-nadu,2023,2,Others,318966,243058635.0
140,tamil-nadu,2019,1,Peer-to-peer payments,18645926,51296299081.44436
141,tamil-nadu,2019,1,Recharge & bill payments,8863289,2695317014.8660007
142,tamil-nadu,2019,1,Merchant payments,4195222,1924461188.9900146
143,tamil-nadu,2019,1,Financial Services,193261,31217137.545322973
144,tamil-nadu,2019,1,Others,377347,256742393.28426796
145,tamil-nadu,2019,2,Peer-to-peer payments,16952961,57924128549.06981
146,tamil-nadu,2019,2,Recharge & bill payments,8414514,3280033639.8500404
147,tamil-nadu,2019,2,Merchant payments,6296995,2690331792.5060787
148,tamil-nadu,2019,2,Financial Services,70142,18334602.389631532
149,tamil-nadu,2019,2,Others,437125,294847441.9421142
150,tamil-nadu,2019,3,Peer-to-peer payments,21277636,70615331408.53966
151,tamil-nadu,2019,3,Merchant payments,10344027,4079315732.661683
152,tamil-nadu,2019,3,Recharge & bill payments,9246678,3964144354.4161515
153,tamil-nadu,2019,3,Financial Services,88261,27213741.831077334
154,tamil-nadu,2019,3,Others,453581,273599406.1898495
155,tamil-nadu,2019,4,Peer-to-peer payments,28814008,91858026341.27563
156,tamil-nadu,2019,4,Merchant payments,16153034,6420193204.780616
157,tamil-nadu,2019,4,Recharge & bill payments,11157765,4681454397.562926
158,tamil-nadu,2019,4,Financial Services,60624,24332240.65556671
